title_raw,title_norm,count,suggested_action,suggested_target,notes
PARTICIPATION AU PROGRAMME,PARTICIPATION AU PROGRAMME,81,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=81), analyser manuellement"
FRANCAIS - POSITIONNEMENT DE NIVEAU,FRANCAIS - POSITIONNEMENT DE NIVEAU,46,MAP_TO_TESTS,tests,Keywords tests détectés (count=46)
CALCUL NIVEAU 2,CALCUL NIVEAU 2,35,MAP_TO_TESTS,tests,Keywords tests détectés (count=35)
CALCUL NIVEAU 3,CALCUL NIVEAU 3,35,MAP_TO_TESTS,tests,Keywords tests détectés (count=35)
TRI ET CLASSEMENT,TRI ET CLASSEMENT,33,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=33), analyser manuellement"
ANGLAIS - POSITIONNEMENT DE NIVEAU,ANGLAIS - POSITIONNEMENT DE NIVEAU,31,MAP_TO_TESTS,tests,Keywords tests détectés (count=31)
TEST ADMINISTRATIF BUREAUTIQUE,TEST ADMINISTRATIF BUREAUTIQUE,30,MAP_TO_TESTS,tests,Keywords tests détectés (count=30)
SAISIE DE COMMANDES,SAISIE DE COMMANDES,29,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=29), analyser manuellement"
"DIMENSIONS, VOLUMES ET MESURES","DIMENSIONS, VOLUMES ET MESURES",27,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=27), analyser manuellement"
ALLEMAND - POSITIONNEMENT DE NIVEAU,ALLEMAND - POSITIONNEMENT DE NIVEAU,26,MAP_TO_TESTS,tests,Keywords tests détectés (count=26)
CALCUL NIVEAU 1,CALCUL NIVEAU 1,26,MAP_TO_TESTS,tests,Keywords tests détectés (count=26)
COMPREHENSION DE CONSIGNES,COMPREHENSION DE CONSIGNES,26,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=26), analyser manuellement"
ELEMENTS DE LA MESURE D’OUTPLACEMENT,ELEMENTS DE LA MESURE D’OUTPLACEMENT,15,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=15), analyser manuellement"
OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),OFFICE CANTONAL DES ASSURANCES SOCIALES (OCAS),14,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=14), analyser manuellement"
LOGISTIQUE & TRANSPORT,LOGISTIQUE & TRANSPORT,9,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=9), analyser manuellement"
A L’ATTENTION DE,A L’ATTENTION DE,8,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=8), analyser manuellement"
RELATION A LA CARRIERE,RELATION A LA CARRIERE,7,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=7), analyser manuellement"
ENTRETIEN & TRAVAUX MANUELS,ENTRETIEN & TRAVAUX MANUELS,7,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=7), analyser manuellement"
STRATEGIES COMPORTEMENTALES,STRATEGIES COMPORTEMENTALES,7,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=7), analyser manuellement"
ACTIVITES PRIVILEGIEES,ACTIVITES PRIVILEGIEES,6,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=6), analyser manuellement"
SANTE & SOINS,SANTE & SOINS,6,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=6), analyser manuellement"
LE/LA STAGIAIRE S’ENGAGE A,LE/LA STAGIAIRE S’ENGAGE A,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
L’ENTREPRISE S’ENGAGE A,L’ENTREPRISE S’ENGAGE A,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
RESPECTE LES HORAIRES,RESPECTE LES HORAIRES,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
TECHNIQUE & MECANIQUE,TECHNIQUE & MECANIQUE,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
SIGNATURE DU FORMATEUR / REFERANT,SIGNATURE DU FORMATEUR / REFERANT,5,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=5), analyser manuellement"
ORGANISATION PRIVILEGIEE,ORGANISATION PRIVILEGIEE,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
RESPECTE LES CONSIGNES AU TRAVAIL,RESPECTE LES CONSIGNES AU TRAVAIL,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,SAIT S’ORGANISER EN FONCTION DU TRAVAIL A REALISER,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
PREND DES INITIATIVES,PREND DES INITIATIVES,4,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=4), analyser manuellement"
LES TACHES REALISEES ONT ETE LES SUIVANTES,LES TACHES REALISEES ONT ETE LES SUIVANTES,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
EST AUTONOMES DANS SON TRAVAIL,EST AUTONOMES DANS SON TRAVAIL,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
VENTE & REPRESENTATION,VENTE & REPRESENTATION,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
POSITIONNEMENT DE NIVEAU EXCEL,POSITIONNEMENT DE NIVEAU EXCEL,3,MAP_TO_TESTS,tests,Keywords tests détectés (count=3)
POSITIONNEMENT DE NIVEAU WORD,POSITIONNEMENT DE NIVEAU WORD,3,MAP_TO_TESTS,tests,Keywords tests détectés (count=3)
LES TACHES ACCOMPLIES SONT LES SUIVANTES,LES TACHES ACCOMPLIES SONT LES SUIVANTES,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
LE SUCCES EST FAVORISE SI,LE SUCCES EST FAVORISE SI,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
LES TACHES EFFECTUEES SONT LES SUIVANTES,LES TACHES EFFECTUEES SONT LES SUIVANTES,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
RECONNAIT LES PRIORITES,RECONNAIT LES PRIORITES,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
S’ADAPTE AUX NOUVELLES SITUATIONS,S’ADAPTE AUX NOUVELLES SITUATIONS,3,MAP_TO_SECTION,À déterminer,"Fréquence élevée (count=3), analyser manuellement"
ANALYSE DES PROBLEMES,ANALYSE DES PROBLEMES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
LIMITATIONS MEDICALES,LIMITATIONS MEDICALES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
DROIT & JUSTICE,DROIT & JUSTICE,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
LOGISTIQUE ET TRANSPORT,LOGISTIQUE ET TRANSPORT,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
ARRIVEZ-VOUS A RESPECTER LES HORAIRES,ARRIVEZ-VOUS A RESPECTER LES HORAIRES,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
SON CAHIER DES CHARGES EST LE SUIVANT,SON CAHIER DES CHARGES EST LE SUIVANT,2,MAP_TO_SECTION,À déterminer,"Fréquence moyenne (count=2), évaluer au cas par cas"
